,open,high,low,close,volume
2022-02-07 09:30:00-05:00,88.64,88.76,88.62,88.74,550.0
2022-02-07 09:31:00-05:00,88.74,88.76,88.57,88.6,554.0
2022-02-07 09:32:00-05:00,88.6,88.66,88.47,88.53,695.0
2022-02-07 09:33:00-05:00,88.53,88.63,88.51,88.59,636.0
2022-02-07 09:34:00-05:00,88.59,88.62,88.51,88.57,500.0
2022-02-07 09:35:00-05:00,88.57,88.62,88.53,88.55,352.0
2022-02-07 09:36:00-05:00,88.55,88.61,88.46,88.47,505.0
2022-02-07 09:37:00-05:00,88.47,88.48,88.36,88.39,802.0
2022-02-07 09:38:00-05:00,88.4,88.68,88.4,88.66,1081.0
2022-02-07 09:39:00-05:00,88.65,88.74,88.62,88.63,668.0
2022-02-07 09:40:00-05:00,88.63,88.63,88.44,88.46,1116.0
2022-02-07 09:41:00-05:00,88.46,88.58,88.44,88.56,402.0
2022-02-07 09:42:00-05:00,88.55,88.59,88.43,88.48,534.0
2022-02-07 09:43:00-05:00,88.48,88.49,88.37,88.48,722.0
2022-02-07 09:44:00-05:00,88.49,88.49,88.39,88.39,429.0
2022-02-07 09:45:00-05:00,88.39,88.43,88.35,88.37,714.0
2022-02-07 09:46:00-05:00,88.37,88.39,88.28,88.34,845.0
2022-02-07 09:47:00-05:00,88.33,88.37,88.28,88.33,486.0
2022-02-07 09:48:00-05:00,88.33,88.4,88.28,88.39,491.0
2022-02-07 09:49:00-05:00,88.39,88.43,88.34,88.38,584.0
2022-02-07 09:50:00-05:00,88.39,88.57,88.37,88.56,1114.0
2022-02-07 09:51:00-05:00,88.56,88.65,88.41,88.45,1125.0
2022-02-07 09:52:00-05:00,88.44,88.59,88.36,88.57,657.0
2022-02-07 09:53:00-05:00,88.57,88.58,88.43,88.46,624.0
2022-02-07 09:54:00-05:00,88.46,88.48,88.38,88.42,625.0
2022-02-07 09:55:00-05:00,88.43,88.51,88.39,88.47,576.0
2022-02-07 09:56:00-05:00,88.47,88.52,88.22,88.22,1598.0
2022-02-07 09:57:00-05:00,88.21,88.3,88.2,88.23,963.0
2022-02-07 09:58:00-05:00,88.23,88.31,88.22,88.29,463.0
2022-02-07 09:59:00-05:00,88.29,88.37,88.26,88.34,383.0
2022-02-07 10:00:00-05:00,88.34,88.36,88.19,88.27,711.0
2022-02-07 10:01:00-05:00,88.27,88.34,88.21,88.29,533.0
2022-02-07 10:02:00-05:00,88.29,88.32,88.2,88.28,461.0
2022-02-07 10:03:00-05:00,88.28,88.28,88.18,88.19,787.0
2022-02-07 10:04:00-05:00,88.2,88.41,88.16,88.41,760.0
2022-02-07 10:05:00-05:00,88.4,88.43,88.34,88.39,528.0
2022-02-07 10:06:00-05:00,88.39,88.45,88.3,88.43,594.0
2022-02-07 10:07:00-05:00,88.44,88.47,88.35,88.37,468.0
2022-02-07 10:08:00-05:00,88.37,88.45,88.36,88.44,284.0
2022-02-07 10:09:00-05:00,88.44,88.44,88.34,88.35,415.0
2022-02-07 10:10:00-05:00,88.35,88.38,88.24,88.25,440.0
2022-02-07 10:11:00-05:00,88.25,88.28,88.21,88.24,339.0
2022-02-07 10:12:00-05:00,88.23,88.26,88.18,88.26,638.0
2022-02-07 10:13:00-05:00,88.26,88.41,88.22,88.4,967.0
2022-02-07 10:14:00-05:00,88.39,88.44,88.33,88.43,500.0
2022-02-07 10:15:00-05:00,88.42,88.51,88.37,88.48,541.0
2022-02-07 10:16:00-05:00,88.48,88.57,88.47,88.54,479.0
2022-02-07 10:17:00-05:00,88.53,88.55,88.48,88.55,260.0
2022-02-07 10:18:00-05:00,88.54,88.55,88.5,88.52,193.0
2022-02-07 10:19:00-05:00,88.52,88.52,88.35,88.38,528.0
2022-02-07 10:20:00-05:00,88.37,88.51,88.33,88.51,461.0
2022-02-07 10:21:00-05:00,88.5,88.54,88.44,88.54,314.0
2022-02-07 10:22:00-05:00,88.55,88.56,88.46,88.47,295.0
2022-02-07 10:23:00-05:00,88.47,88.49,88.45,88.48,262.0
2022-02-07 10:24:00-05:00,88.49,88.61,88.49,88.59,607.0
2022-02-07 10:25:00-05:00,88.58,88.59,88.48,88.53,455.0
2022-02-07 10:26:00-05:00,88.52,88.54,88.46,88.48,394.0
2022-02-07 10:27:00-05:00,88.48,88.51,88.46,88.5,425.0
2022-02-07 10:28:00-05:00,88.49,88.5,88.38,88.44,451.0
2022-02-07 10:29:00-05:00,88.44,88.44,88.35,88.37,386.0
2022-02-07 10:30:00-05:00,88.38,88.39,88.29,88.3,654.0
2022-02-07 10:31:00-05:00,88.3,88.36,88.25,88.34,515.0
2022-02-07 10:32:00-05:00,88.34,88.53,88.34,88.52,538.0
2022-02-07 10:33:00-05:00,88.51,88.6,88.48,88.6,462.0
