,open,high,low,close,volume
2020-01-22 09:30:00-05:00,54.52,54.56,54.46,54.48,3260.0
2020-01-22 09:31:00-05:00,54.47,54.48,54.38,54.39,3655.0
2020-01-22 09:32:00-05:00,54.39,54.47,54.38,54.47,2541.0
2020-01-22 09:33:00-05:00,54.46,54.48,54.4,54.4,1526.0
2020-01-22 09:34:00-05:00,54.41,54.42,54.37,54.38,1300.0
2020-01-22 09:35:00-05:00,54.38,54.38,54.34,54.36,2047.0
2020-01-22 09:36:00-05:00,54.36,54.43,54.32,54.42,2639.0
2020-01-22 09:37:00-05:00,54.43,54.43,54.36,54.4,1448.0
2020-01-22 09:38:00-05:00,54.4,54.43,54.39,54.41,905.0
2020-01-22 09:39:00-05:00,54.41,54.43,54.38,54.41,1177.0
2020-01-22 09:40:00-05:00,54.41,54.41,54.32,54.33,2085.0
2020-01-22 09:41:00-05:00,54.33,54.34,54.29,54.34,2497.0
2020-01-22 09:42:00-05:00,54.34,54.45,54.33,54.44,3446.0
2020-01-22 09:43:00-05:00,54.45,54.51,54.44,54.5,2224.0
2020-01-22 09:44:00-05:00,54.51,54.51,54.46,54.47,1103.0
2020-01-22 09:45:00-05:00,54.46,54.47,54.4,54.42,1262.0
2020-01-22 09:46:00-05:00,54.42,54.42,54.35,54.36,1642.0
2020-01-22 09:47:00-05:00,54.35,54.36,54.28,54.3,2823.0
2020-01-22 09:48:00-05:00,54.3,54.38,54.29,54.34,2808.0
2020-01-22 09:49:00-05:00,54.34,54.41,54.34,54.41,1726.0
2020-01-22 09:50:00-05:00,54.41,54.44,54.34,54.35,2044.0
2020-01-22 09:51:00-05:00,54.36,54.4,54.3,54.39,1872.0
2020-01-22 09:52:00-05:00,54.4,54.44,54.38,54.44,1195.0
2020-01-22 09:53:00-05:00,54.44,54.45,54.37,54.38,1536.0
2020-01-22 09:54:00-05:00,54.38,54.42,54.36,54.41,682.0
2020-01-22 09:55:00-05:00,54.42,54.44,54.38,54.4,1375.0
2020-01-22 09:56:00-05:00,54.4,54.44,54.37,54.39,787.0
2020-01-22 09:57:00-05:00,54.38,54.44,54.38,54.43,572.0
2020-01-22 09:58:00-05:00,54.42,54.46,54.41,54.42,574.0
2020-01-22 09:59:00-05:00,54.42,54.43,54.39,54.43,511.0
2020-01-22 10:00:00-05:00,54.42,54.42,54.36,54.37,1261.0
2020-01-22 10:01:00-05:00,54.36,54.39,54.34,54.34,1085.0
2020-01-22 10:02:00-05:00,54.34,54.41,54.3,54.36,1790.0
2020-01-22 10:03:00-05:00,54.35,54.4,54.35,54.38,1344.0
2020-01-22 10:04:00-05:00,54.38,54.38,54.31,54.31,1046.0
2020-01-22 10:05:00-05:00,54.32,54.33,54.26,54.32,2465.0
2020-01-22 10:06:00-05:00,54.31,54.34,54.27,54.29,1466.0
2020-01-22 10:07:00-05:00,54.29,54.29,54.24,54.27,1458.0
2020-01-22 10:08:00-05:00,54.27,54.29,54.26,54.28,991.0
2020-01-22 10:09:00-05:00,54.28,54.29,54.26,54.27,627.0
2020-01-22 10:10:00-05:00,54.26,54.27,54.2,54.23,2827.0
2020-01-22 10:11:00-05:00,54.23,54.28,54.23,54.26,1468.0
2020-01-22 10:12:00-05:00,54.25,54.26,54.21,54.24,943.0
2020-01-22 10:13:00-05:00,54.25,54.29,54.24,54.28,1148.0
2020-01-22 10:14:00-05:00,54.29,54.33,54.28,54.29,1115.0
