,open,high,low,close,volume
2021-02-12 09:30:00-05:00,55.31,55.37,55.27,55.36,583.0
2021-02-12 09:31:00-05:00,55.36,55.45,55.35,55.44,950.0
2021-02-12 09:32:00-05:00,55.43,55.46,55.37,55.37,722.0
2021-02-12 09:33:00-05:00,55.38,55.41,55.37,55.41,492.0
2021-02-12 09:34:00-05:00,55.41,55.42,55.36,55.37,287.0
2021-02-12 09:35:00-05:00,55.36,55.43,55.34,55.43,545.0
2021-02-12 09:36:00-05:00,55.42,55.44,55.41,55.43,432.0
2021-02-12 09:37:00-05:00,55.44,55.46,55.43,55.44,428.0
2021-02-12 09:38:00-05:00,55.45,55.48,55.44,55.45,573.0
2021-02-12 09:39:00-05:00,55.46,55.48,55.42,55.42,477.0
2021-02-12 09:40:00-05:00,55.42,55.47,55.41,55.46,456.0
2021-02-12 09:41:00-05:00,55.46,55.59,55.46,55.54,2050.0
2021-02-12 09:42:00-05:00,55.55,55.58,55.54,55.56,916.0
2021-02-12 09:43:00-05:00,55.55,55.59,55.53,55.58,614.0
2021-02-12 09:44:00-05:00,55.59,55.6,55.56,55.57,437.0
2021-02-12 09:45:00-05:00,55.57,55.59,55.56,55.58,422.0
2021-02-12 09:46:00-05:00,55.59,55.63,55.58,55.61,571.0
2021-02-12 09:47:00-05:00,55.61,55.63,55.59,55.61,404.0
2021-02-12 09:48:00-05:00,55.61,55.64,55.59,55.64,440.0
2021-02-12 09:49:00-05:00,55.64,55.67,55.63,55.66,705.0
2021-02-12 09:50:00-05:00,55.66,55.68,55.65,55.67,470.0
2021-02-12 09:51:00-05:00,55.68,55.7,55.64,55.64,820.0
2021-02-12 09:52:00-05:00,55.64,55.65,55.61,55.61,626.0
2021-02-12 09:53:00-05:00,55.61,55.66,55.6,55.65,483.0
2021-02-12 09:54:00-05:00,55.66,55.67,55.64,55.64,321.0
2021-02-12 09:55:00-05:00,55.65,55.72,55.65,55.7,759.0
2021-02-12 09:56:00-05:00,55.71,55.71,55.67,55.67,314.0
2021-02-12 09:57:00-05:00,55.66,55.72,55.66,55.7,475.0
2021-02-12 09:58:00-05:00,55.7,55.74,55.65,55.66,508.0
2021-02-12 09:59:00-05:00,55.65,55.7,55.65,55.68,306.0
2021-02-12 10:00:00-05:00,55.68,55.78,55.67,55.76,981.0
2021-02-12 10:01:00-05:00,55.76,55.78,55.75,55.76,800.0
2021-02-12 10:02:00-05:00,55.76,55.83,55.76,55.81,876.0
2021-02-12 10:03:00-05:00,55.8,55.85,55.8,55.82,1292.0
2021-02-12 10:04:00-05:00,55.82,55.85,55.79,55.81,644.0
2021-02-12 10:05:00-05:00,55.81,55.84,55.76,55.76,639.0
2021-02-12 10:06:00-05:00,55.77,55.82,55.77,55.77,476.0
2021-02-12 10:07:00-05:00,55.77,55.79,55.76,55.79,338.0
2021-02-12 10:08:00-05:00,55.79,55.8,55.73,55.74,441.0
2021-02-12 10:09:00-05:00,55.74,55.78,55.74,55.75,322.0
2021-02-12 10:10:00-05:00,55.76,55.78,55.75,55.75,363.0
2021-02-12 10:11:00-05:00,55.76,55.77,55.74,55.77,135.0
2021-02-12 10:12:00-05:00,55.78,55.79,55.74,55.75,298.0
2021-02-12 10:13:00-05:00,55.75,55.8,55.74,55.79,260.0
2021-02-12 10:14:00-05:00,55.79,55.8,55.78,55.8,219.0
2021-02-12 10:15:00-05:00,55.81,55.83,55.79,55.8,475.0
2021-02-12 10:16:00-05:00,55.8,55.8,55.75,55.76,353.0
2021-02-12 10:17:00-05:00,55.76,55.78,55.73,55.74,323.0
2021-02-12 10:18:00-05:00,55.73,55.75,55.69,55.73,887.0
2021-02-12 10:19:00-05:00,55.74,55.74,55.7,55.71,535.0
2021-02-12 10:20:00-05:00,55.7,55.73,55.68,55.72,517.0
2021-02-12 10:21:00-05:00,55.72,55.72,55.64,55.67,1049.0
2021-02-12 10:22:00-05:00,55.67,55.73,55.66,55.71,497.0
2021-02-12 10:23:00-05:00,55.72,55.74,55.72,55.74,166.0
2021-02-12 10:24:00-05:00,55.75,55.76,55.72,55.73,291.0
2021-02-12 10:25:00-05:00,55.73,55.74,55.7,55.71,370.0
2021-02-12 10:26:00-05:00,55.71,55.74,55.7,55.74,235.0
2021-02-12 10:27:00-05:00,55.73,55.75,55.71,55.74,217.0
2021-02-12 10:28:00-05:00,55.74,55.74,55.68,55.69,276.0
2021-02-12 10:29:00-05:00,55.69,55.71,55.68,55.69,349.0
2021-02-12 10:30:00-05:00,55.7,55.71,55.62,55.68,1305.0
2021-02-12 10:31:00-05:00,55.67,55.7,55.66,55.66,330.0
