,open,high,low,close,volume
2022-04-11 09:30:00-04:00,91.61,91.63,91.46,91.51,434.0
2022-04-11 09:31:00-04:00,91.49,91.56,91.43,91.47,196.0
2022-04-11 09:32:00-04:00,91.46,91.69,91.46,91.65,245.0
2022-04-11 09:33:00-04:00,91.66,91.87,91.65,91.81,458.0
2022-04-11 09:34:00-04:00,91.8,91.98,91.79,91.91,344.0
2022-04-11 09:35:00-04:00,91.91,92.03,91.68,91.71,573.0
2022-04-11 09:36:00-04:00,91.71,91.72,91.55,91.6,243.0
2022-04-11 09:37:00-04:00,91.6,91.64,91.5,91.62,294.0
2022-04-11 09:38:00-04:00,91.61,91.65,91.53,91.62,256.0
2022-04-11 09:39:00-04:00,91.6,91.68,91.58,91.61,179.0
2022-04-11 09:40:00-04:00,91.59,91.59,91.09,91.1,980.0
2022-04-11 09:41:00-04:00,91.1,91.33,91.08,91.23,584.0
2022-04-11 09:42:00-04:00,91.22,91.33,91.18,91.27,374.0
2022-04-11 09:43:00-04:00,91.25,91.3,91.19,91.25,199.0
2022-04-11 09:44:00-04:00,91.24,91.37,91.2,91.21,341.0
2022-04-11 09:45:00-04:00,91.25,91.25,91.08,91.19,353.0
2022-04-11 09:46:00-04:00,91.16,91.16,91.04,91.08,432.0
2022-04-11 09:47:00-04:00,91.09,91.09,90.95,90.98,461.0
2022-04-11 09:48:00-04:00,90.98,91.22,90.91,90.93,495.0
2022-04-11 09:49:00-04:00,90.93,91.05,90.93,90.96,236.0
2022-04-11 09:50:00-04:00,90.96,91.05,90.91,90.99,306.0
2022-04-11 09:51:00-04:00,91.0,91.15,90.91,90.96,317.0
2022-04-11 09:52:00-04:00,90.95,91.03,90.88,90.95,531.0
2022-04-11 09:53:00-04:00,90.94,91.06,90.94,91.03,305.0
2022-04-11 09:54:00-04:00,91.02,91.25,90.94,91.18,483.0
2022-04-11 09:55:00-04:00,91.17,91.37,91.11,91.37,410.0
2022-04-11 09:56:00-04:00,91.35,91.35,91.24,91.31,283.0
2022-04-11 09:57:00-04:00,91.32,91.33,91.2,91.28,211.0
2022-04-11 09:58:00-04:00,91.27,91.48,91.25,91.39,339.0
2022-04-11 09:59:00-04:00,91.39,91.56,91.34,91.49,314.0
2022-04-11 10:00:00-04:00,91.49,91.58,91.4,91.45,319.0
2022-04-11 10:01:00-04:00,91.42,91.42,91.28,91.39,393.0
2022-04-11 10:02:00-04:00,91.37,91.56,91.19,91.26,388.0
2022-04-11 10:03:00-04:00,91.25,91.33,91.21,91.29,293.0
2022-04-11 10:04:00-04:00,91.29,91.43,91.26,91.43,204.0
2022-04-11 10:05:00-04:00,91.42,91.54,91.38,91.46,345.0
2022-04-11 10:06:00-04:00,91.46,91.47,91.31,91.31,205.0
2022-04-11 10:07:00-04:00,91.32,91.37,91.26,91.3,220.0
2022-04-11 10:08:00-04:00,91.3,91.65,91.3,91.59,443.0
2022-04-11 10:09:00-04:00,91.6,91.69,91.54,91.63,376.0
2022-04-11 10:10:00-04:00,91.63,91.75,91.59,91.62,512.0
